name,location,main_cuisine,rate,votes,approx_cost(for two people),rest_type
B.M.W Bhookh Mitaane Wala,JP Nagar,Indian,3.5,8,500.0,Quick Bites
Dosa Bazaar,JP Nagar,Indian,4.0,112,200.0,Quick Bites
Gowdru Mane Oota,JP Nagar,Indian,3.7,80,400.0,Quick Bites
Banashankari Nati Style,JP Nagar,Indian,3.6,8,300.0,Quick Bites
Upahara Darshini,Jayanagar,Indian,4.0,167,400.0,Quick Bites
New Udupi Grand,JP Nagar,Indian,3.5,47,300.0,Quick Bites
Paratha Plaza,JP Nagar,Indian,3.8,171,250.0,Quick Bites
Namma Kudla,JP Nagar,Indian,3.9,200,400.0,Quick Bites
The Foodyz,JP Nagar,Indian,3.7,42,500.0,Quick Bites
Dakshin Cafe,JP Nagar,Indian,4.1,140,100.0,Quick Bites
Tiwari's Ghee Paratha and Chats,JP Nagar,Indian,3.2,6,200.0,Quick Bites
Melting Pot at Woodrose,JP Nagar,Indian,3.7,19,800.0,Quick Bites
Halli Mane MUDDE OOTA,JP Nagar,Indian,3.5,14,300.0,Quick Bites
Nandhanus Rasoi,Jayanagar,Indian,3.4,9,200.0,Quick Bites
Sri Rajasthani Foods,JP Nagar,Indian,3.6,8,200.0,Quick Bites
Udupi Upachar,JP Nagar,Indian,3.3,12,300.0,Quick Bites
Vinaya Cafe,JP Nagar,Indian,3.7,55,200.0,Quick Bites
New Mogul Empire,JP Nagar,Indian,3.4,5,300.0,Quick Bites
Atithi Biryani Corner,JP Nagar,Indian,3.3,4,200.0,Quick Bites
Mirch Masala,JP Nagar,Indian,3.4,6,500.0,Quick Bites
Bengalooru Tiffany's,JP Nagar,Indian,3.0,38,400.0,Quick Bites
Kulkarni's New Uttara Karnataka Food Speciality Stores,JP Nagar,Indian,3.4,6,250.0,Quick Bites
Chaitanya Cafe,JP Nagar,Indian,3.9,92,300.0,Quick Bites
Pappu Da Dhaba,Jayanagar,Indian,3.0,57,400.0,Quick Bites
Roll N Rock,JP Nagar,Indian,3.7,33,400.0,Quick Bites
Dal Roti,JP Nagar,Indian,3.7,117,150.0,Quick Bites
Special Biriyani,JP Nagar,Indian,2.9,4,300.0,Quick Bites
The Tucck Box,JP Nagar,Indian,3.4,7,300.0,Quick Bites
Waah Biryani,JP Nagar,Indian,3.8,115,350.0,Quick Bites
Ningi Family Restaurant,JP Nagar,Indian,3.5,10,400.0,Quick Bites
Sree Krishna Kafe,JP Nagar,Indian,3.9,115,200.0,Quick Bites
Jaganath Restaurant And Hotel,JP Nagar,Indian,3.2,8,300.0,Quick Bites
Tandoori Spot,JP Nagar,Indian,3.5,13,500.0,Quick Bites
The Little Kitchen,JP Nagar,Indian,3.4,8,300.0,Quick Bites
Kesar Restaurant,JP Nagar,Indian,3.6,48,200.0,Quick Bites
Parkview,JP Nagar,Indian,4.0,129,300.0,Quick Bites
Waah Biryani,JP Nagar,Indian,3.8,115,350.0,Quick Bites
Kabab Mehal,JP Nagar,Indian,3.8,228,400.0,Quick Bites
White Horse,JP Nagar,Indian,3.8,177,400.0,Quick Bites
Jaganath Restaurant And Hotel,JP Nagar,Indian,3.2,8,300.0,Quick Bites
Grills & Rolls,JP Nagar,Indian,2.5,321,400.0,Quick Bites
Atithi Biryani Corner,JP Nagar,Indian,3.3,4,200.0,Quick Bites
Chaitanya Cafe,JP Nagar,Indian,3.9,92,300.0,Quick Bites
Udupi Upachar,JP Nagar,Indian,3.3,12,300.0,Quick Bites
Sree Krishna Kafe,JP Nagar,Indian,3.9,115,200.0,Quick Bites
Bengalooru Tiffany's,JP Nagar,Indian,3.0,38,400.0,Quick Bites
Gowdru Mane Oota,JP Nagar,Indian,3.7,80,400.0,Quick Bites
Melting Pot at Woodrose,JP Nagar,Indian,3.7,19,800.0,Quick Bites
Kesar Restaurant,JP Nagar,Indian,3.6,48,200.0,Quick Bites
Gopal Kabab Centre,JP Nagar,Indian,3.3,4,350.0,Quick Bites
Nandi Bidadi Thatte Idli,JP Nagar,Indian,2.9,33,100.0,Quick Bites
Gowdru Military Hotel,JP Nagar,Indian,3.2,5,300.0,Quick Bites
Akshaya Donne Biriyani,JP Nagar,Indian,3.1,38,300.0,Quick Bites
Tandoori Spot,JP Nagar,Indian,3.5,13,500.0,Quick Bites
Nati Palace,JP Nagar,Indian,3.5,11,200.0,Quick Bites
Banashankari Nati Style,JP Nagar,Indian,3.6,8,300.0,Quick Bites
Halli Mane MUDDE OOTA,JP Nagar,Indian,3.5,14,300.0,Quick Bites
36th Cross Coffee Mane,Jayanagar,Indian,3.6,16,200.0,Quick Bites
Bhukkhad Baba,JP Nagar,Indian,3.7,125,250.0,Quick Bites
Mysuru Coffee Thindi,Jayanagar,Indian,4.1,296,200.0,Quick Bites
Vijayalakshmi,Basavanagudi,Indian,3.9,47,200.0,Quick Bites
Kabab Magic,Basavanagudi,Indian,4.1,1720,400.0,Quick Bites
Paratha Junction,Jayanagar,Indian,3.2,395,300.0,Quick Bites
Adithya,JP Nagar,Indian,4.0,332,300.0,Quick Bites
Namma Brahmin's Idli,Jayanagar,Indian,3.6,34,100.0,Quick Bites
Puliyogare Point,Basavanagudi,Indian,4.2,444,100.0,Quick Bites
Kedia's Fun Food,Jayanagar,Indian,4.3,630,200.0,Quick Bites
Kabab Mehal,JP Nagar,Indian,3.7,65,400.0,Quick Bites
Prasiddhi Food Corner,JP Nagar,Indian,3.7,170,200.0,Quick Bites
Starlite Bakery & Fastfood,Jayanagar,Indian,3.7,23,300.0,Quick Bites
Wahab,Jayanagar,Indian,3.7,97,350.0,Quick Bites
Upahara Darshini,Jayanagar,Indian,4.0,166,400.0,Quick Bites
Bangalore Agarwal Bhavan,Jayanagar,Indian,3.9,134,400.0,Quick Bites
Just Thindi,Basavanagudi,Indian,3.6,16,200.0,Quick Bites
HOT COFFEE,Basavanagudi,Indian,4.1,70,150.0,Quick Bites
Sri Sai 99 Variety Dosa,Jayanagar,Indian,3.6,37,300.0,Quick Bites
Ishta Cafe,Jayanagar,Indian,3.9,40,500.0,Quick Bites
Sri Sai Cafe,Basavanagudi,Indian,3.5,10,200.0,Quick Bites
Vakulaa Veg Restaurant,Jayanagar,Indian,3.9,49,200.0,Quick Bites
Fanoos Xprss,Jayanagar,Indian,3.7,53,400.0,Quick Bites
Jayanagara Donne Biryani,Jayanagar,Indian,3.6,60,400.0,Quick Bites
Anda Ka Funda,Jayanagar,Indian,3.4,89,250.0,Quick Bites
Juice Junction Food Court,Basavanagudi,Indian,3.7,57,200.0,Quick Bites
Kaapi Kendra,Jayanagar,Indian,3.7,14,100.0,Quick Bites
Sri Rajasthani Foods,JP Nagar,Indian,3.5,9,200.0,Quick Bites
Lalbagh Grand,Basavanagudi,Indian,3.0,22,250.0,Quick Bites
Shreyas Upahar & Burger Point,Basavanagudi,Indian,3.0,7,200.0,Quick Bites
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,Indian,4.1,558,150.0,Quick Bites
Shringar Sweets & Snacks,Basavanagudi,Indian,3.5,11,200.0,"Sweet Shop, Quick Bites"
Hatti Kaapi,Jayanagar,Indian,4.0,89,200.0,Quick Bites
Udupi Grand,Basavanagudi,Indian,3.8,74,300.0,Quick Bites
The Krishna Grand Xpress,Jayanagar,Indian,4.0,136,350.0,Quick Bites
Swarga Ruchi,Basavanagudi,Indian,3.3,10,200.0,Quick Bites
Nandhanus Rasoi,Jayanagar,Indian,3.4,9,200.0,Quick Bites
Pappu Da Dhaba,Jayanagar,Indian,3.0,57,400.0,Quick Bites
Nandhi Andhra Style Family Restaurant,Jayanagar,Indian,3.4,13,400.0,Quick Bites
New Udupi Upahar,Jayanagar,Indian,3.5,23,300.0,Quick Bites
Maiyas,Jayanagar,Indian,4.0,1778,200.0,Quick Bites
Navya Foods,HSR,Indian,3.4,7,300.0,Quick Bites
By 2 Coffee,Basavanagudi,Indian,4.3,316,100.0,Quick Bites
Kalpavriksha Upahara,Jayanagar,Indian,3.9,126,400.0,Quick Bites
Vinaya Cafe,Jayanagar,Indian,3.4,11,200.0,Quick Bites
Sri Krishna Darshini,Basavanagudi,Indian,3.1,4,200.0,Quick Bites
Tiwari's,Jayanagar,Indian,3.8,70,200.0,Quick Bites
Mulabagilu Dosa,Basavanagudi,Indian,3.6,11,100.0,Quick Bites
Sri Krishna Veg,Basavanagudi,Indian,3.5,4,100.0,Quick Bites
Eat Repeat,Basavanagudi,Indian,3.9,101,150.0,Quick Bites
Food Springs,Jayanagar,Indian,4.0,232,400.0,Quick Bites
Kamat Minerva,Basavanagudi,Indian,2.6,72,300.0,Quick Bites
Kollapuri's,Basavanagudi,Indian,3.9,206,450.0,Quick Bites
Davangere Benna Dose Hotel,Jayanagar,Indian,4.1,90,100.0,Quick Bites
New Banashankari Donne Biryani,Basavanagudi,Indian,3.5,12,300.0,Quick Bites
Millet Mama,Basavanagudi,Indian,3.9,18,200.0,Quick Bites
Kholi Mane,Basavanagudi,Indian,3.6,46,450.0,Quick Bites
Chamrajpet Kabab Junction,Basavanagudi,Indian,3.2,4,250.0,Quick Bites
Namma Kudla,JP Nagar,Indian,3.9,200,400.0,Quick Bites
Dal Roti,JP Nagar,Indian,3.7,117,150.0,Quick Bites
Kamat Bugle Rock,Basavanagudi,Indian,3.9,543,300.0,Quick Bites
B.M.W Bhookh Mitaane Wala,JP Nagar,Indian,3.5,8,500.0,Quick Bites
Dakshin Kitchen,Basavanagudi,Indian,3.6,15,100.0,Quick Bites
South Kitchen,Basavanagudi,Indian,4.3,275,100.0,Quick Bites
Siddique Kabab Centre,Jayanagar,Indian,3.1,68,550.0,Quick Bites
Upahara Sagar,Jayanagar,Indian,3.0,25,300.0,Quick Bites
Ganesh Grand,Basavanagudi,Indian,3.7,30,300.0,Quick Bites
Chef Master,Jayanagar,Indian,3.8,75,300.0,Quick Bites
Adithya,Jayanagar,Indian,3.2,9,400.0,Quick Bites
Mane Holige,Jayanagar,Indian,4.3,141,200.0,"Sweet Shop, Quick Bites"
Trendz Corner,Jayanagar,Indian,3.6,31,200.0,Quick Bites
Fishland Deluxe,Jayanagar,Indian,3.5,9,500.0,Quick Bites
Sri Udupi Veg,Jayanagar,Indian,3.3,4,250.0,Quick Bites
Kolkata Restaurant,Jayanagar,Indian,3.0,7,300.0,Quick Bites
Kaulige Millet Corner,Basavanagudi,Indian,3.3,4,150.0,Quick Bites
Petoo,Jayanagar,Indian,3.9,20,800.0,Quick Bites
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,Indian,4.0,98,400.0,"Sweet Shop, Quick Bites"
Shringar Sweets & Snacks,Basavanagudi,Indian,3.5,11,200.0,"Sweet Shop, Quick Bites"
