location,votes,rate,approx_cost(for two people)
Basavanagudi,206.85245901639345,3.660655737704918,222.95081967213116
HSR,138.82640586797066,3.606601466992665,329.4621026894865
JP Nagar,87.55913978494624,3.565591397849462,313.79928315412184
Jayanagar,152.35142857142858,3.6662857142857144,303.0
Majestic,26.75,3.375,264.0625
Whitefield,68.68713450292398,3.4157894736842107,356.4327485380117
